Date,AsianPaints Open,AsianPaints High,AsianPaints Low,AsianPaints close,AsianPaints Adj Close,Asian paintsVolume,DMart Open,DMart High,DMart Low,DMart Close,Dmart Adj Close,DMart Volume,,Dropdown for Comparison,,,,,,,,,,,,,,,,Date,DMart Open,AsianPaints Open
2/9/2022,3230,3259,3222.75,3228.350098,3205.227051,472725,4075,4075,3980,4003.800049,4003.800049,15686,,,,,,,,,,,,,,,,,,2/9/2022,4075,3230
2/10/2022,3220,3248,3176,3238.75,3215.55249,728666,4025,4179,4001,4162.950195,4162.950195,50041,,,,,,,,,,,,,,,,,,2/10/2022,4025,3220
2/11/2022,3229.949951,3229.949951,3182.5,3216.300049,3193.263428,587840,4067.600098,4155.75,4067.600098,4139.350098,4139.350098,30438,,,,,,,,,,,,,,,,,,2/11/2022,4067.600098,3229.949951
2/14/2022,3140,3182.699951,3120,3143.449951,3120.935059,681236,4080,4124.950195,3957.600098,3979.800049,3979.800049,19738,,,,,,,,,,,,,,,,,,2/14/2022,4080,3140
2/15/2022,3140,3270,3132.850098,3264.600098,3241.217529,676844,3980.649902,4126,3980.649902,4082.25,4082.25,35383,,,,,,,,,,,,,,,,,,2/15/2022,3980.649902,3140
2/16/2022,3280,3285.100098,3223,3252.850098,3229.551758,624320,4140,4153,4035,4049.25,4049.25,23803,,,,,,,,,,,,,,,,,,2/16/2022,4140,3280
2/17/2022,3273,3294.949951,3236.399902,3265.850098,3242.458496,636735,4118,4151.5,4082.050049,4116.649902,4116.649902,7807,,,,,,,,,,,,,,,,,,2/17/2022,4118,3273
2/18/2022,3236.149902,3272,3230.050049,3258.449951,3235.111328,423801,4071,4121.799805,4055.449951,4070.699951,4070.699951,15842,,,,,,,,,,,,,,,,,,2/18/2022,4071,3236.149902
2/21/2022,3235,3278.449951,3204.149902,3251.649902,3228.360107,547472,4060,4169.799805,3992,4092.5,4092.5,18078,,,,,,,,,,,,,,,,,,2/21/2022,4060,3235
2/22/2022,3120,3236.800049,3120,3227.149902,3204.0354,1147209,4041,4184.200195,3990.050049,4156.5,4156.5,19930,,,,,,,,,,,,,,,,,,2/22/2022,4041,3120
2/23/2022,3236.899902,3296.899902,3230,3237.199951,3214.013428,935896,4160,4214.799805,4137.350098,4196,4196,14409,,,,,,,,,,,,,,,,,,2/23/2022,4160,3236.899902
2/24/2022,3130,3197.800049,3051.5,3069.050049,3047.067871,1823450,3951,4138.950195,3951,4022.449951,4022.449951,91444,,,,,,,,,,,,,,,,,,2/24/2022,3951,3130
2/25/2022,3105,3141.449951,3083.050049,3119.199951,3096.858887,1239456,4047.550049,4210,4039.350098,4189.75,4189.75,51015,,,,,,,,,,,,,,,,,,2/25/2022,4047.550049,3105
2/28/2022,3090,3190.5,3015,3174.649902,3151.911377,1678348,4187,4351,4063.449951,4339.850098,4339.850098,24618,,,,,,,,,,,,,,,,,,2/28/2022,4187,3090
3/2/2022,3107,3111.199951,2991.100098,3028.949951,3007.255371,3014206,4280.049805,4447.549805,4271,4296.200195,4296.200195,22980,,,,,,,,,,,,,,,,,,3/2/2022,4280.049805,3107
3/3/2022,3029,3051,2862,2871.899902,2851.329834,4406840,4350,4398.850098,4254,4272.350098,4272.350098,28601,,,,,,,,,,,,,,,,,,3/3/2022,4350,3029
3/4/2022,2863.800049,2863.800049,2662.050049,2738.149902,2718.537842,6979253,4263.899902,4263.899902,4077,4108.450195,4108.450195,25825,,,,,,,,,,,,,,,,,,3/4/2022,4263.899902,2863.800049
3/7/2022,2649.899902,2727.949951,2599.350098,2708.449951,2689.050537,3233760,4010,4174.950195,3970,3990.850098,3990.850098,37833,,,,,,,,,,,,,,,,,,3/7/2022,4010,2649.899902
3/8/2022,2690,2736.949951,2638,2723.399902,2703.893799,2611102,4047.899902,4160,3993,4114,4114,21598,,,,,,,,,,,,,,,,,,3/8/2022,4047.899902,2690
3/9/2022,2750,2890,2665.050049,2874.949951,2854.358154,4076068,4135.5,4170,4070.050049,4098.200195,4098.200195,16296,,,,,,,,,,,,,,,,,,3/9/2022,4135.5,2750
3/10/2022,3000,3040,2891.199951,2912.800049,2891.937256,3971987,4195,4238.799805,4141.600098,4167.25,4167.25,47093,,,,,,,,,,,,,,,,,,3/10/2022,4195,3000
3/11/2022,2917,2939.949951,2882.350098,2932,2910.999512,1265493,4190,4207.450195,4110.649902,4199.549805,4199.549805,12794,,,,,,,,,,,,,,,,,,3/11/2022,4190,2917
3/14/2022,2950,2972.350098,2917.300049,2962.800049,2941.579102,1214217,4181,4216,4150.049805,4167.049805,4167.049805,425518,,,,,,,,,,,,,,,,,,3/14/2022,4181,2950
3/15/2022,2998,3032,2966,2987.149902,2965.754639,1857685,4200,4251,4170,4222.75,4222.75,26853,,,,,,,,,,,,,,,,,,3/15/2022,4200,2998
3/16/2022,3043,3050,3010.75,3042,3020.21167,1287234,4225,4240,4156.5,4169.649902,4169.649902,13861,,,,,,,,,,,,,,,,,,3/16/2022,4225,3043
3/17/2022,3113.5,3163.300049,3076.5,3136.600098,3114.134277,2867519,4225,4239.850098,4165.549805,4193.100098,4193.100098,28852,,,,,,,,,,,,,,,,,,3/17/2022,4225,3113.5
3/21/2022,3117.300049,3117.300049,3030.100098,3045.75,3023.934814,1259015,4203,4210,4082,4097.399902,4097.399902,30205,,,,,,,,,,,,,,,,,,3/21/2022,4203,3117.300049
3/22/2022,3024,3062.699951,2975,3051.149902,3029.296143,1515772,4121.100098,4121.100098,4031.100098,4055.050049,4055.050049,24369,,,,,,,,,,,,,,,,,,3/22/2022,4121.100098,3024
3/23/2022,3060,3079.899902,3005,3016.800049,2995.192383,948403,4080,4116.450195,4067.350098,4089.300049,4089.300049,29285,,,,,,,,,,,,,,,,,,3/23/2022,4080,3060
3/24/2022,2969.5,3038.949951,2950.550049,3025.350098,3003.681152,1243917,4075,4089.949951,4031.550049,4043.850098,4043.850098,16329,,,,,,,,,,,,,,,,,,3/24/2022,4075,2969.5
3/25/2022,3025.350098,3064.550049,2991,3046.949951,3025.126221,1083275,4070,4070,3996,4000.850098,4000.850098,38846,,,,,,,,,,,,,,,,,,3/25/2022,4070,3025.350098
3/28/2022,3046.949951,3058.600098,2995.649902,3027.449951,3005.765869,680332,4036,4036,3975,4008.350098,4008.350098,14594,,,,,,,,,,,,,,,,,,3/28/2022,4036,3046.949951
3/29/2022,3069,3087.699951,3012.699951,3042.600098,3020.807373,1120936,4020,4037.699951,3986,4006.100098,4006.100098,15522,,,,,,,,,,,,,,,,,,3/29/2022,4020,3069
3/30/2022,3078,3094.350098,3055.899902,3081.550049,3059.478516,849545,4049,4083.399902,3948,3972.75,3972.75,63102,,,,,,,,,,,,,,,,,,3/30/2022,4049,3078
3/31/2022,3115,3129.25,3066.100098,3079.949951,3057.889893,1464862,4012,4040,3985.600098,3999.449951,3999.449951,14878,,,,,,,,,,,,,,,,,,3/31/2022,4012,3115
4/1/2022,3110,3121,3087.649902,3114.149902,3091.844971,637392,4024,4101.75,4001.800049,4082.300049,4082.300049,14113,,,,,,,,,,,,,,,,,,4/1/2022,4024,3110
4/4/2022,3124.949951,3143,3093.5,3118,3095.66748,873264,4110,4149.950195,4075,4107.100098,4107.100098,52376,,,,,,,,,,,,,,,,,,4/4/2022,4110,3124.949951
4/5/2022,3110,3157,3080,3140.800049,3118.304199,805874,4139,4146,4100,4107.850098,4107.850098,31906,,,,,,,,,,,,,,,,,,4/5/2022,4139,3110
4/6/2022,3137,3165,3113,3154,3131.409668,736379,4108,4137,4086.050049,4103.100098,4103.100098,10649,,,,,,,,,,,,,,,,,,4/6/2022,4108,3137
4/7/2022,3154,3208.949951,3145.5,3155,3132.402344,1025244,4100,4243,4090.949951,4157.700195,4157.700195,82757,,,,,,,,,,,,,,,,,,4/7/2022,4100,3154
4/8/2022,3168,3220,3151.199951,3206.25,3183.2854,678898,4160,4208.950195,4120.049805,4144.649902,4144.649902,8890,,,,,,,,,,,,,,,,,,4/8/2022,4160,3168
4/11/2022,3184,3222,3150,3157.449951,3134.834717,672652,4148,4200,4128.399902,4171.200195,4171.200195,9698,,,,,,,,,,,,,,,,,,4/11/2022,4148,3184
4/12/2022,3154.699951,3162.100098,3114.149902,3128.649902,3106.240967,794265,4171,4176.100098,4075,4085.649902,4085.649902,9285,,,,,,,,,,,,,,,,,,4/12/2022,4171,3154.699951
4/13/2022,3117.199951,3121.899902,3066.100098,3080.649902,3058.584717,1121350,4099,4115.549805,4081.149902,4090.5,4090.5,6127,,,,,,,,,,,,,,,,,,4/13/2022,4099,3117.199951
4/18/2022,3056,3058,3013,3021.550049,2999.908203,1032504,4085,4085,4012.199951,4055.800049,4055.800049,12573,,,,,,,,,,,,,,,,,,4/18/2022,4085,3056
4/19/2022,3030,3059.199951,2970,2991.199951,2969.775635,749782,4065,4125.600098,3975.100098,4009,4009,7997,,,,,,,,,,,,,,,,,,4/19/2022,4065,3030
4/20/2022,2991.300049,3089.5,2980,3083,3060.917969,838182,4020,4064.949951,4000,4054.399902,4054.399902,28290,,,,,,,,,,,,,,,,,,4/20/2022,4020,2991.300049
4/21/2022,3089.800049,3174.399902,3086.050049,3158.25,3135.62915,1069035,4095,4095,4015,4031,4031,5303,,,,,,,,,,,,,,,,,,4/21/2022,4095,3089.800049
4/22/2022,3121.5,3173.300049,3113.25,3164.399902,3141.735107,681191,4033.800049,4060,3997,4028.800049,4028.800049,18633,,,,,,,,,,,,,,,,,,4/22/2022,4033.800049,3121.5
4/25/2022,3134,3155.100098,3095.100098,3130.600098,3108.177246,1096774,4013.949951,4021,3977,3988.75,3988.75,7937,,,,,,,,,,,,,,,,,,4/25/2022,4013.949951,3134
4/26/2022,3130,3148.699951,3105.800049,3125.649902,3103.262451,1703441,3998,4048,3996.050049,4040.75,4040.75,9090,,,,,,,,,,,,,,,,,,4/26/2022,3998,3130
4/27/2022,3096,3164,3085.949951,3148.350098,3125.800049,963536,4024,4024,3962,3977.800049,3977.800049,6848,,,,,,,,,,,,,,,,,,4/27/2022,4024,3096
4/28/2022,3190,3268,3170,3247.699951,3224.438477,2001838,3997.949951,4052,3997.949951,4025.5,4025.5,28082,,,,,,,,,,,,,,,,,,4/28/2022,3997.949951,3190
4/29/2022,3249,3278,3221.300049,3237.199951,3214.013428,1088970,4030,4083.949951,3909.449951,3948.600098,3948.600098,28673,,,,,,,,,,,,,,,,,,4/29/2022,4030,3249
5/2/2022,3195,3211.5,3154.050049,3200,3177.080078,595522,3930,3995,3887.050049,3984.949951,3984.949951,27512,,,,,,,,,,,,,,,,,,5/2/2022,3930,3195
5/4/2022,3178,3194.699951,3081.449951,3100.850098,3078.640381,1120002,3988,4022.5,3850,3866.850098,3866.850098,219481,,,,,,,,,,,,,,,,,,5/4/2022,3988,3178
